"country_name","total_temp_changes"
"Mongolia",50.37
"Svalbard and Jan Mayen Islands",50.025
"Gambia",48.453
"Morocco",47.314
"Guinea-Bissau",47.29
"Tunisia",46.848
"Mauritania",44.865
"Eastern Europe",44.689
"Austria",44.165
"Senegal",43.608
