"months","years","temp_changes"
"January",1997,0.554
"January",1998,0.788
"January",1999,1.009
"January",2000,0.478
"January",2001,0.807
"January",2002,1.398
"January",2003,1.39
"January",2004,1.001
"January",2005,1.174
"January",2006,0.722
"January",2007,2.087
"January",2008,0.321
"January",2009,1.086
"January",2010,1.092
"January",2011,0.7
"January",2012,0.654
"January",2013,1.131
"January",2014,1.174
"January",2015,1.529
"January",2016,1.813
"January",2017,1.758
"January",2018,1.349
"January",2019,1.697
"July",1961,0.007
"July",1962,-0.035
"July",1963,0.208
"July",1964,-0.235
"July",1965,-0.29
"July",1966,0.27
"July",1967,-0.214
"July",1968,-0.195
"July",1969,-0.065
"July",1970,0.055
"July",1971,0.003
"July",1972,0.101
"July",1973,0.34
"July",1974,-0.166
"July",1975,0.237
"July",1976,-0.191
"July",1977,0.171
"July",1978,-0.004
"July",1979,0.06
"July",1980,0.316
"July",1981,0.216
"July",1982,0.13
"July",1983,0.484
"July",1984,0.117
"July",1985,-0.063
"July",1986,0.122
"July",1987,0.552
"July",1988,0.57
"July",1989,0.328
"July",1990,0.214
"July",1991,0.423
"July",1992,-0.281
"July",1993,0.311
"July",1994,0.348
"July",1995,0.538
"July",1996,0.446
"July",1997,0.551
"July",1998,1.196
"July",1999,0.689
"July",2000,0.538
"July",2001,0.832
"July",2002,1.04
"July",2003,0.798
"July",2004,0.482
"July",2005,0.983
"July",2006,0.984
"July",2007,0.826
"July",2008,0.891
"July",2009,0.741
"July",2010,1.235
"July",2011,1.06
"July",2012,1.083
"July",2013,0.882
"July",2014,0.863
"July",2015,1.123
"July",2016,1.294
"July",2017,1.259
"July",2018,1.311
"July",2019,1.207
"June",1961,0.313
"June",1962,-0.208
"June",1963,-0.12
"June",1964,-0.089
"June",1965,-0.036
"June",1966,0.279
"June",1967,-0.354
"June",1968,-0.217
"June",1969,0.023
"June",1970,0.18
"June",1971,-0.206
"June",1972,0.169
"June",1973,0.403
"June",1974,-0.105
"June",1975,0.24
"June",1976,-0.354
"June",1977,0.358
"June",1978,-0.242
"June",1979,0.18
"June",1980,0.28
"June",1981,0.17
"June",1982,-0.137
"June",1983,0.125
"June",1984,0.039
"June",1985,0.091
"June",1986,0.275
"June",1987,0.351
"June",1988,0.621
"June",1989,0.237
"June",1990,0.571
"June",1991,0.56
"June",1992,0.124
"June",1993,0.336
"June",1994,0.642
"June",1995,0.789
"June",1996,0.371
"June",1997,0.675
"June",1998,1.044
"June",1999,0.676
"June",2000,0.619
"June",2001,0.691
"June",2002,0.786
"June",2003,0.753
"June",2004,0.563
"June",2005,1.095
"June",2006,1.118
"June",2007,0.782
"June",2008,0.804
"June",2009,0.828
"June",2010,1.227
"June",2011,1.046
"June",2012,1.313
"June",2013,1.18
"June",2014,1.06
"June",2015,1.362
"June",2016,1.335
"June",2017,1.235
"June",2018,1.107
"June",2019,1.515
"March",1961,0.254
"March",1962,0.279
"March",1963,-0.237
"March",1964,-0.287
"March",1965,-0.272
"March",1966,0.391
"March",1967,-0.117
"March",1968,0.423
"March",1969,-0.018
"March",1970,-0.043
"March",1971,-0.006
"March",1972,-0.172
"March",1973,0.712
"March",1974,0.018
"March",1975,0.21
"March",1976,-0.865
"March",1977,0.965
"March",1978,0.369
"March",1979,0.434
"March",1980,0
"March",1981,1.126
"March",1982,0.005
"March",1983,0.392
"March",1984,0.294
"March",1985,-0.002
"March",1986,0.263
"March",1987,-0.069
"March",1988,0.673
"March",1989,0.504
"March",1990,1.312
"March",1991,0.649
"March",1992,0.71
"March",1993,0.795
"March",1994,0.712
"March",1995,0.839
