X,food_product,land_use,animal_feed,farm,processing,transport,packging,retail,total_emissions
33,A: Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,43.3
35,B: Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24
34,C: Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,20.2
39,D: Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,16.7
31,E: Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,12.8
42,F: Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.6
19,G: Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6.4
36,H: Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,5.7
